#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,LIKE
1,2 Heads,Coleman Hell,4/7/15,120,56,73,-9,35,3:34,6,56,2823,1
2,chateau,blackbear,4/21/17,98,64,67,-6,48,3:33,5,70,7304,1
3,Winnebago (feat. Quinn XCII & Daniel Wilson),Gryffin,4/20/18,148,89,65,-3,70,3:00,11,60,6855,1
4,Brooklyn '95,Robotaki,8/10/18,96,66,69,-5,53,3:38,4,47,4526,1
5,Heebiejeebies - Bonus,Aminé,7/28/17,107,50,77,-8,50,3:40,42,69,9151,1
6,Don't Wanna Fall In Love,KYLE,10/2/15,132,62,49,-7,60,3:52,2,1,1183,1
7,Spice Girl,Aminé,7/28/17,78,46,69,-8,87,2:54,39,70,2992,1
8,Fire Alarm,Castlecomer,10/5/18,145,92,51,-5,52,3:57,0,52,2561,1
9,You & I,Colony House,1/13/17,99,85,48,-5,49,3:27,0,48,8198,1
10,"Prune, You Talk Funny",Gus Dapperton,12/5/17,140,75,57,-7,58,3:33,2,67,7618,1
11,Sit Next to Me,Foster The People,7/21/17,97,74,64,-5,66,4:03,12,73,6212,1
12,Sweater Weather,The Neighbourhood,4/19/13,124,81,61,-3,40,4:00,5,80,2921,1
13,Cocaine Jesus,Rainbow Kitten Surprise,4/25/15,120,36,82,-7,16,3:50,16,65,5372,0
14,Lady Lie,Rainbow Kitten Surprise,4/25/15,132,30,47,-10,30,3:35,39,60,4987,1
15,Cold Love,Rainbow Kitten Surprise,4/25/15,115,28,63,-11,21,3:57,77,55,6516,1
16,It's Called: Freefall,Rainbow Kitten Surprise,4/6/18,98,52,74,-6,28,2:32,63,65,3952,1
17,still feel.,half•alive,8/3/18,120,53,78,-6,70,4:07,15,59,7084,1
18,Tell Me,Spencer Sutherland,6/15/18,84,60,49,-4,55,3:19,5,50,6278,1
19,Broke,Samm Henshaw,8/8/18,90,68,75,-4,86,3:28,43,62,2319,1
20,Bambi,Hippo Campus,9/28/18,90,47,74,-8,31,3:14,7,66,7869,1
21,Doubt (feat. Wretch 32),Samm Henshaw,10/4/18,140,76,63,-6,59,3:45,6,51,721,1
