#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,LIKE
2,The Box,Roddy Ricch,12/6/19,117,59,90,-7,64,3:17,10,99,6028,1
3,Blinding Lights,The Weeknd,3/20/20,171,73,51,-6,33,3:20,0,89,4841,0
4,Blueberry Faygo,Lil Mosey,2/6/20,99,55,77,-8,35,2:43,21,84,8725,1
5,Find My Way,DaBaby,4/1/20,103,63,83,-7,64,2:20,15,77,5186,1
6,Don't Start Now,Dua Lipa,3/27/20,124,79,79,-5,68,3:03,1,84,8905,1
7,Roses - Imanbek Remix,SAINt JHN,10/9/19,122,72,77,-5,90,2:57,2,95,2365,1
8,WHATS POPPIN,Jack Harlow,3/13/20,145,60,92,-7,83,2:20,2,88,5542,1
9,Turks (feat. Travis Scott),NAV,3/27/20,119,62,89,-4,39,2:41,8,85,8992,1
10,Say So,Doja Cat,11/7/19,111,67,79,-5,79,3:58,26,96,4486,1
11,Savage,Megan Thee Stallion,3/6/20,169,74,84,-6,68,2:35,3,88,2360,1
12,death bed (coffee for your head) (feat. beabadoobee),Powfu,2/8/20,144,43,73,-9,35,2:53,73,96,8896,1
13,Intentions (feat. Quavo),Justin Bieber,2/14/20,148,55,81,-7,87,3:33,30,90,9107,1
14,Life Is Good (feat. Drake),Future,1/10/20,142,61,68,-6,51,3:58,7,94,7257,1
15,High Fashion (feat. Mustard),Roddy Ricch,12/6/19,98,50,83,-8,51,3:40,27,91,6672,1
16,Walk Em Down (feat. Roddy Ricch),NLE Choppa,3/19/20,84,74,87,-5,65,2:53,27,84,9340,1
17,Sunday Best,Surfaces,1/6/19,112,53,88,-7,69,2:39,18,94,8273,1
18,Circles,Post Malone,9/6/19,120,76,70,-3,55,3:35,19,95,7311,1
19,Falling,Trevor Daniel,3/26/20,127,43,78,-9,24,2:39,12,73,6046,1
20,ROXANNE,Arizona Zervas,10/10/19,117,60,62,-6,46,2:44,5,96,9459,1
21,In Your Eyes,The Weeknd,3/20/20,100,72,67,-5,72,3:58,0,91,5125,1
22,P2,Lil Uzi Vert,3/6/20,155,72,78,-5,49,3:55,2,88,2304,1
23,Supalonely,BENEE,11/15/19,129,63,86,-5,82,3:43,31,92,648,1
24,Adore You,Harry Styles,12/13/19,99,77,68,-4,57,3:27,2,87,6578,1
25,Dance Monkey,Tones And I,5/10/19,98,59,83,-6,54,3:30,69,75,4970,1
26,Suicidal (Remix) [feat. Juice WRLD],YNW Melly,3/13/20,140,44,66,-5,27,3:46,47,86,1645,1
27,Godzilla (feat. Juice WRLD),Eminem,1/17/20,166,75,81,-5,83,3:31,14,94,8672,1
28,That Way - Bonus Track,Lil Uzi Vert,3/6/20,130,60,71,-5,50,3:32,6,80,260,1
29,BELIEVE IT,PARTYNEXTDOOR,3/27/20,158,70,43,-5,73,3:03,9,84,1342,1
30,After Hours,The Weeknd,3/20/20,109,57,66,-6,14,6:01,8,85,6892,1
31,Break My Heart,Dua Lipa,3/27/20,113,73,73,-3,47,3:42,17,84,2809,1
32,Heartless,The Weeknd,3/20/20,170,75,54,-6,25,3:18,2,84,7913,1
33,Ballin' (with Roddy Ricch),Mustard,6/28/19,97,55,81,-7,24,3:00,39,89,9968,1
34,Yo Perreo Sola,Bad Bunny,2/28/20,97,76,86,-5,45,2:52,2,91,1527,1
35,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,9/6/19,90,52,76,-4,93,2:38,53,84,7750,1
36,PTSD,G Herbo,2/28/20,119,81,88,-3,81,3:52,3,83,3357,1
37,Oprah’s Bank Account (Lil Yachty & DaBaby feat. Drake),Lil Yachty,3/9/20,138,62,84,-4,87,3:27,17,85,825,1
38,Someone You Loved,Lewis Capaldi,5/17/19,110,41,50,-6,45,3:02,75,93,4379,1
39,hot girl bummer,blackbear,8/23/19,130,56,78,-7,68,3:05,13,90,5522,1
40,Go Stupid,Polo G,2/14/20,141,83,92,-3,65,2:46,3,86,4503,1
41,BOP,DaBaby,9/27/19,127,79,77,-4,84,2:40,19,88,7935,1
42,Bandit (with YoungBoy Never Broke Again),Juice WRLD,10/4/19,180,63,47,-6,43,3:09,7,88,6077,1
43,Lo Mein,Lil Uzi Vert,3/6/20,133,68,86,-6,51,3:15,9,84,1968,1
44,Boss Bitch,Doja Cat,1/23/20,126,96,71,-5,57,2:14,13,89,8000,1
45,everything i wanted,Billie Eilish,11/13/19,120,23,70,-14,24,4:05,90,94,4926,1
46,Lucid Dreams,Juice WRLD,12/10/18,84,57,51,-7,22,4:00,35,89,2319,1
47,Safaera,Bad Bunny,2/28/20,96,83,61,-4,69,4:55,1,94,9040,1
48,Myron,Lil Uzi Vert,3/13/20,155,65,77,-7,57,3:45,6,86,385,1
49,Woah,Lil Baby,2/28/20,143,60,88,-6,41,3:03,2,77,2241,1
